1 1:11.6938351919 2:24.924180083 3:35.5375681535 4:4 5:4 6:4 7:7 8:27 9:38 10:13.0394609419 11:3.92150810645 12:6.58814273665 13:47808.0 14:37670.0 15:35660.0 
1 1:21.6170351919 2:0.931419917012 3:9.46076815353 4:9 5:9 6:9 7:16 8:2 9:15 10:13.3112301726 11:12.6816364343 12:15.4278468872 13:48612.0 14:39896.0 15:38368.0 
1 1:15.0282351919 2:22.066980083 3:33.6035681535 4:3 5:3 6:3 7:10 8:26 9:38 10:13.5047863935 11:9.72541051728 12:12.7106337486 13:48854.0 14:38656.0 15:36659.0 
1 1:23.9518351919 2:7.03738008299 3:15.0055681535 4:8 5:8 6:8 7:19 8:12 9:21 10:10.6963612969 11:6.73720379029 12:8.05750418642 13:52303.0 14:44368.0 15:42578.0 
1 1:28.3342351919 2:26.734219917 3:27.3204318465 4:257 5:257 6:257 7:24 8:25 9:27 10:11.8091891941 11:7.00231839973 12:6.58487645669 13:52870.0 14:48542.0 15:49043.0 
1 1:1.20303519191 2:12.228980083 3:16.0887681535 4:2 5:2 6:2 7:2 8:4 9:6 10:11.4981316179 11:8.64481259159 12:8.90648186021 13:45759.0 14:39450.0 15:40154.0 
1 1:6.05543519191 2:28.909380083 3:39.9547681535 4:9 5:9 6:9 7:1 8:34 9:47 10:13.6767847626 11:4.82021364259 12:6.20051711808 13:46261.0 14:36645.0 15:34951.0 
1 1:16.0798351919 2:5.86338008299 3:15.9123681535 4:6 5:6 6:6 7:12 8:7 9:18 10:14.1617996782 11:8.98271654562 12:10.6390161913 13:47671.0 14:39920.0 15:39629.0 
1 1:7.67103519191 2:40.553380083 3:53.8567681535 4:0 5:0 6:0 7:4 8:45 9:61 10:14.8686593166 11:8.91030927949 12:12.7011792582 13:46391.0 14:34542.0 15:31144.0 
1 1:10.3206351919 2:30.162980083 3:40.6855681535 4:0 5:0 6:0 7:6 8:37 9:50 10:10.894276576 11:1.41703872143 12:2.25600232156 13:47927.0 14:38215.0 15:37011.0 
1 1:18.1210351919 2:23.731419917 3:24.5472318465 4:10 5:10 6:10 7:14 8:21 9:22 10:13.5161500475 11:12.8828310109 12:14.3853642891 13:49233.0 14:46472.0 15:47862.0 
-1 1:13.9498351919 2:23.475819917 3:24.2376318465 4:0 5:0 6:0 7:9 8:21 9:21 10:13.0415755851 11:13.6735515228 12:16.0738149223 13:48463.0 14:47167.0 15:48613.0 
-1 1:0.153764808091 2:10.401419917 3:12.2672318465 4:11 5:11 6:11 7:4 8:8 9:9 10:13.3372136614 11:13.0393164311 12:14.9880456351 13:43310.0 14:41599.0 15:44151.0 
